item_name,station,day_served,meal_time,calories,contains_eggs,contains_fish,contains_milk,contains_peanuts,contains_shellfish,contains_soy,contains_treenuts,contains_wheat,is_gluten_free,is_halal,is_kosher,is_locally_grown,is_organic,is_vegan,is_vegetarian
overnight apples 'n' oats,dtg,wednesday,breakfast,200,False,False,True,False,False,False,False,False,False,,,False,False,False,True
banana bread,dtg,wednesday,breakfast,170,,,,,,,,,,,,False,False,False,True
carrot raisin mini muffin,dtg,wednesday,breakfast,100,True,False,True,False,False,True,False,True,False,,,False,False,False,True
cherry cobbler bread,dtg,wednesday,breakfast,280,True,False,True,False,False,True,False,True,False,,,False,False,False,True
powdered sugar donut,dtg,wednesday,breakfast,280,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
grits,green st. soup,wednesday,breakfast,90,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True
old fashioned oatmeal,green st. soup,wednesday,breakfast,110,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True
biscuits & sausage gravy,streetfare,wednesday,breakfast,570,True,False,True,False,False,True,False,True,False,,,False,False,False,False
"bacon, egg & cheese muffin",streetfare,wednesday,breakfast,360,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
breakfast burrito,streetfare,wednesday,breakfast,400,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
scrambled eggs,streetfare,wednesday,breakfast,140,True,False,True,False,False,False,False,False,True,,True,False,False,False,True
almond milk french toast,streetfare,wednesday,breakfast,200,,,,,,,,,,,,False,False,True,True
hash brown potato patty,streetfare,wednesday,breakfast,130,False,False,False,False,False,False,False,False,True,,,False,False,False,False
o'brien potatoes,streetfare,wednesday,breakfast,150,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
turkey sausage patty,streetfare,wednesday,breakfast,90,False,False,False,False,False,False,False,False,True,,,False,False,False,False
apple cinnamon mini muffin,dtg,thursday,breakfast,90,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
southern biscuit,dtg,thursday,breakfast,190,False,False,True,False,False,False,False,True,False,,True,False,False,False,True
sunrise tex-mex taco,streetfare,thursday,breakfast,280,,,,,,,,,,,,False,False,False,False
crispy tater tots,streetfare,thursday,breakfast,120,,,,,,,,,,True,,False,False,False,False
bacon,streetfare,thursday,breakfast,90,False,False,False,False,False,False,False,False,True,,,False,False,False,False
chocolate chip scone,dtg,friday,breakfast,160,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
whole grain lemon poppy mini muffin,dtg,friday,breakfast,110,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
"ham, egg & cheese bagel",streetfare,friday,breakfast,310,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
lyonnaise potatoes,streetfare,friday,breakfast,120,False,False,False,False,False,False,False,False,True,,True,False,False,True,True
pork sausage patty,streetfare,friday,breakfast,180,False,False,False,False,False,False,False,False,True,,,False,False,False,False
blueberry whole grain mini muffin,dtg,sunday,breakfast,80,True,False,True,False,False,True,False,True,False,,,False,False,False,False
iced cinnamon roll,dtg,sunday,breakfast,220,True,False,True,False,False,True,False,True,False,,True,False,False,False,True
broccoli & cheddar strata,streetfare,sunday,breakfast,240,True,False,True,False,False,True,False,True,False,False,,False,False,False,True
pork sausage links,streetfare,sunday,breakfast,240,False,False,False,False,False,False,False,False,True,,,False,False,False,False
belgian waffle,dtg,wednesday,lunch,260,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True
signature chips,green st. deli,wednesday,lunch,140,False,False,False,False,False,False,False,False,True,,,False,False,False,False
spicy feta with cauliflower toast,green st. lto,wednesday,lunch,360,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
chicken tenders and fries,ignite grill,wednesday,lunch,620,False,False,False,False,False,False,False,True,False,,,False,False,False,False
gardenburger black bean burger,ignite grill,wednesday,lunch,270,False,False,False,False,False,True,False,True,False,,True,False,False,True,True
hamburger,ignite grill,wednesday,lunch,330,False,False,False,False,False,False,False,True,False,,,False,False,False,False
grilled herb chicken sandwich,ignite grill,wednesday,lunch,330,False,False,False,False,False,False,False,True,False,False,,False,False,False,False
philly cheesesteak,ignite grill,wednesday,lunch,490,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
crispy shoestring french fries,ignite grill,wednesday,lunch,150,False,False,False,False,False,False,False,False,True,True,,False,False,False,False
eggplant parmesan melt,ignite lto,wednesday,lunch,480,,,,,,,,,,,,False,False,False,False
"pork, salami and swiss melt",green st. panini,wednesday,lunch,430,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
"chicken, bacon & ranch panini",green st. panini,wednesday,lunch,520,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
grilled cheese sandwich,green st. panini,wednesday,lunch,430,True,False,True,False,False,True,False,False,True,False,,False,False,False,True
chipotle chicken quesadilla,green st. panini,wednesday,lunch,490,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
broccoli cheddar soup,green st. panini,wednesday,lunch,200,False,False,True,False,False,True,False,True,False,,,False,False,False,False
chicken noodle soup,green st. panini,wednesday,lunch,70,,,,,,,,,,,,False,False,False,False
cilantro-lime barley,uc veg hand held,wednesday,lunch,130,False,False,False,False,False,False,False,False,False,,,False,False,True,True
turmeric & quinoa basmati rice,uc veg hand held,wednesday,lunch,110,False,False,False,False,False,False,False,False,True,,True,False,False,True,True
blanched cauliflower,uc veg hand held,wednesday,lunch,15,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
blanched fresh kale,uc veg hand held,wednesday,lunch,10,False,False,False,False,False,False,False,False,True,True,,False,False,True,True
mediterranean saute with orzo,uc veg hot,wednesday,lunch,250,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
vegetarian chorizo bowl,uc veg lto,wednesday,lunch,590,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
grilled veg & hummus pita,uc veg lto,wednesday,lunch,370,,,,,,,,,,,,False,False,False,True
strawberry chia toast,uc veg lto,wednesday,lunch,190,False,False,True,False,False,True,False,True,False,False,,False,False,False,True
vegan kale caesar salad,uc veg salad bar,wednesday,lunch,440,,,,,,,,,,,,False,False,True,True
veggie antioxidant salad,uc veg salad bar,wednesday,lunch,310,,,,,,,,,,,,False,False,False,True
marinated green beans & tomato,uc veg salad bar,wednesday,lunch,45,False,False,False,False,False,False,False,False,True,True,,False,False,True,True
rice noodles,uc veg soup,wednesday,lunch,210,,,,,,,,,,,,False,False,True,True
spicy vegetable gumbo,uc veg soup,wednesday,lunch,40,False,False,False,False,False,False,False,False,True,,,False,False,True,True
korean vegetable broth,uc veg soup,wednesday,lunch,5,,,,,,,,,,,,False,False,True,True
dijon fall salad,vespa lto,wednesday,lunch,350,,,,,,,,,,,,False,False,False,False
garlic herb breadstick,vespa pasta,wednesday,lunch,180,True,False,True,False,False,True,False,True,False,,,False,False,False,True
pesto cavatappi & vegetables,vespa pizza,wednesday,lunch,280,,,,,,,,,,,,False,False,False,True
classic cheese pizza,vespa pizza,wednesday,lunch,250,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
mushroom & sausage pizza,vespa pizza,wednesday,lunch,310,True,False,True,False,False,True,False,True,False,,False,False,False,False,False
pepperoni pizza,vespa pizza,wednesday,lunch,280,True,False,True,False,False,True,False,True,False,,False,False,False,False,False
italian pork & spinach hoagie,ignite lto,thursday,lunch,640,False,False,True,False,False,True,False,True,False,False,,False,False,False,False
bistro beet burger,uc veg hot,thursday,lunch,400,,,,,,,,,,,,False,False,True,True
penne pasta salad,uc veg salad bar,thursday,lunch,130,,,,,,,,,,,,False,False,True,True
chicken & penne cacciatore,vespa lto,thursday,lunch,240,,,,,,,,,,,,False,False,False,False
ranch crusted chicken drumstick,vespa pizza,thursday,lunch,320,,,,,,,,,,,,False,False,False,False
buffalo chicken melt,vespa pizza,thursday,lunch,480,,,,,,,,,,,,False,False,False,False
peanut butter power sandwich,green st. lto,friday,lunch,470,,,,,,,,,,,,False,False,False,True
honey dijon chicken snacker,ignite lto,friday,lunch,280,False,False,True,False,False,False,False,True,False,False,,False,False,False,False
southwest sweet potato,uc veg hot,friday,lunch,360,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
sesame noodle salad,uc veg salad bar,friday,lunch,270,,,,,,,,,,,,False,False,True,True
pan-seared ancho lime cod,vespa lto,friday,lunch,340,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
bbq chicken pizza,vespa pizza,friday,lunch,310,,,,,,,,,,,,False,False,False,False
white pizza,vespa pizza,friday,lunch,300,True,False,True,False,False,True,False,True,False,,False,False,False,False,True
mediterranean lentil salad,uc veg salad bar,saturday,lunch,160,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
grilled chicken bruschetta,ignite lto,sunday,lunch,180,False,False,False,False,False,False,False,False,True,,,False,False,False,False
black bean stuffed pepper,uc veg hot,sunday,lunch,170,False,False,False,False,False,False,False,False,True,False,,False,False,True,True
spicy sweet potato salad,uc veg salad bar,sunday,lunch,120,False,False,False,False,False,False,False,False,True,True,,False,False,True,True
asian chicken flatbread,vespa pizza,sunday,lunch,570,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False
chicken-bacon ranch flatbread,vespa pizza,sunday,lunch,440,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
devil's food cupcake,dtg,wednesday,dinner,150,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
gingerbread thimble cake,dtg,wednesday,dinner,130,,,,,,,,,,,,False,False,False,False
peanut butter cookie,dtg,wednesday,dinner,120,True,False,True,True,False,True,False,True,False,,True,False,False,False,True
shrimp po' boy,green st. lto,wednesday,dinner,500,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False
chicken cheesesteak,ignite grill,wednesday,dinner,450,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
crispy chicken nuggets,ignite lto,wednesday,dinner,300,,,,,,,,True,False,,,False,False,False,False
ham & swiss panini,green st. panini,wednesday,dinner,320,,,,,,,,,,,,False,False,False,False
"melt, chicken, bacon, swiss, chipotle honey, flatbread, wg",green st. panini,wednesday,dinner,640,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
pork carnitas quesadilla,green st. panini,wednesday,dinner,520,,,,,,,,,,,,False,False,False,False
cranberry-pecan mixed grains,uc veg hand held,wednesday,dinner,160,False,False,False,False,False,False,True,True,False,False,,False,False,True,True
five spice veggie quinoa bowl,uc veg hot,wednesday,dinner,240,False,False,False,False,False,True,False,True,False,False,,False,False,True,True
banana berry nutella(r) toast,uc veg lto,wednesday,dinner,510,False,False,True,False,False,True,True,True,False,,,False,False,False,True
broccoli soup,uc veg soup,wednesday,dinner,120,False,False,False,False,False,False,False,True,False,,,False,False,True,True
cheeseburger mac & cheese bowl,vespa lto,wednesday,dinner,640,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
bacon-cauliflower flatbread,vespa pizza,wednesday,dinner,500,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
pepperoni melt,vespa pizza,wednesday,dinner,340,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
red velvet cupcake,dtg,thursday,dinner,160,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
sugar cookie,dtg,thursday,dinner,120,True,False,True,False,False,True,False,True,False,,True,False,False,False,True
cherry cheesecake tart,dtg,thursday,dinner,170,,,,,,,,,,,,False,False,False,True
maple chipotle blt,green st. lto,thursday,dinner,350,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
nachos con queso,ignite lto,thursday,dinner,490,False,False,True,False,False,False,False,False,True,,,False,False,False,False
grilled vegetable quesadilla,uc veg hot,thursday,dinner,360,,,,,,,,,,,,False,False,True,True
tortellini alfredo,vespa lto,thursday,dinner,320,True,False,True,False,False,False,False,True,False,,False,False,False,False,False
buffalo cauliflower pizza,vespa pizza,thursday,dinner,270,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True
molten chocolate cake,dtg,friday,dinner,290,True,False,True,False,False,True,False,True,False,False,,False,False,False,True
chocolate chip cookie,dtg,friday,dinner,120,True,False,True,False,False,True,False,True,False,,True,False,False,False,True
strawberry shortcake parfait,dtg,friday,dinner,170,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False
chicken & hummus ciabatta,green st. lto,friday,dinner,230,,,,,,,,,,,,False,False,False,False
avocado ranch crispy chicken sandwich,ignite lto,friday,dinner,510,True,False,True,False,False,False,False,True,False,False,,False,False,False,False
penne,uc veg hot,friday,dinner,100,False,False,False,False,False,False,False,True,False,,True,False,False,True,True
eggplant parmesan,uc veg hot,friday,dinner,430,,,,,,,,,,,,False,False,True,True
hearty grain & tomato salad,vespa lto,friday,dinner,250,False,False,False,False,False,False,False,True,False,False,,False,False,False,True
boom boom chicken flatbread,vespa pizza,friday,dinner,480,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
three cheese bruschetta flatbread,vespa pizza,friday,dinner,470,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
crunchy s'mores bar,dtg,saturday,dinner,270,,,,,,,,,,,,False,False,False,False
oatmeal raisin cookie,dtg,saturday,dinner,120,True,False,True,False,False,True,True,True,False,,True,False,False,False,True
roast pork panini,green st. lto,saturday,dinner,430,,,,,,,,,,,,False,False,False,False
korean bbq tofu,uc veg hot,saturday,dinner,110,False,False,False,False,False,True,False,True,False,False,,False,False,True,True
seasoned rice,uc veg hot,saturday,dinner,130,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
chicken tikka masala burrito,vespa lto,saturday,dinner,450,False,False,True,False,False,False,False,True,False,False,,False,False,False,False
grilled vegetable stromboli,vespa pizza,saturday,dinner,250,,,,,,,,,,,,False,False,False,True
stromboli quattro formaggi,vespa pizza,saturday,dinner,260,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True
dulce de leche brownie,dtg,sunday,dinner,230,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
spiced chocolate cupcake,dtg,sunday,dinner,160,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
california turkey bacon wrap,green st. lto,sunday,dinner,160,,,,,,,,,,,,False,False,False,False
crispy pork sandwich,ignite lto,sunday,dinner,670,True,False,True,False,False,False,False,True,False,False,,False,False,False,False
couscous,uc veg hot,sunday,dinner,100,False,False,False,False,False,False,False,True,False,,True,False,False,True,True
vegetable balti,uc veg hot,sunday,dinner,100,False,False,False,False,False,False,False,False,True,,,False,False,True,True
cheesy shrimp alfredo,vespa lto,sunday,dinner,360,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
kielbasa mac & cheese,vespa pizza,sunday,dinner,290,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
loaded potato pizza,vespa pizza,sunday,dinner,340,,,,,,,,,,,,False,False,False,False
cheerios (r) cereal,dtg,monday,breakfast,70,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False
bananas foster mini muffin,dtg,monday,breakfast,90,True,False,True,False,False,True,False,True,False,,,False,False,False,True
cinnamon streusel coffee cake,dtg,monday,breakfast,290,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
powdered sugar donut bites,dtg,monday,breakfast,210,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
egg & cheese muffin,streetfare,monday,breakfast,270,True,False,True,False,False,True,False,True,False,,,False,False,False,False
cheddar & onion frittata,streetfare,monday,breakfast,270,True,False,True,False,False,False,False,False,True,False,,False,False,False,True
hash brown potatoes,streetfare,monday,breakfast,130,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
turkey sausage link,streetfare,monday,breakfast,110,False,False,False,False,False,False,False,False,True,,,False,False,False,False
apple cinnamon scone,dtg,tuesday,breakfast,120,True,False,True,False,False,True,False,True,False,,,False,False,False,True
double chocolate chip mini muffin,dtg,tuesday,breakfast,120,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
pumpkin pie donut bites,dtg,tuesday,breakfast,210,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
three cheese & ham strata,streetfare,tuesday,breakfast,300,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
home fries,streetfare,tuesday,breakfast,140,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
cranberry-peach mini muffin,dtg,wednesday,breakfast,90,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
cinnamon-sugar donut,dtg,wednesday,breakfast,280,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
donut bites,dtg,thursday,breakfast,210,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
whole grain blueberry mini muffin,dtg,thursday,breakfast,80,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
moist apple crumb cake,dtg,thursday,breakfast,300,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
chocolate donut bites,dtg,friday,breakfast,210,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
pumpkin & cheese mini muffin,dtg,friday,breakfast,100,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
breakfast stromboli with sausage,streetfare,friday,breakfast,380,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
middle eastern chickpea toast,green st. lto,monday,lunch,270,,,,,,,,,,,,False,False,False,True
mozzarella sticks,ignite grill,monday,lunch,480,,,True,,,,,True,False,,,False,False,False,False
fish and chips,ignite lto,monday,lunch,370,False,True,True,False,False,False,False,True,False,,,False,False,False,False
ham & swiss melt,green st. panini,monday,lunch,500,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
italian meat lover's panini,green st. panini,monday,lunch,340,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
chipotle chicken tortilla soup,green st. panini,monday,lunch,100,,,,,,,,,,,,False,False,False,False
minestrone soup,green st. panini,monday,lunch,110,True,False,True,False,False,True,False,True,False,,,False,False,False,False
sriracha-slaw black bean burger,uc veg hot,monday,lunch,360,False,False,False,False,False,True,False,True,False,False,,False,False,True,True
smashed avocado toast,uc veg lto,monday,lunch,230,False,False,False,False,False,True,False,True,False,,,False,False,False,True
pickled cucumber & mint salad,uc veg salad bar,monday,lunch,30,False,False,False,False,False,False,False,False,True,True,,False,False,True,True
buffalo chicken mac & cheese,vespa lto,monday,lunch,310,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
garlic shrimp flatbread,vespa pizza,monday,lunch,430,True,False,True,False,True,True,False,True,False,,False,False,False,False,False
